publication_country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Canada,1.0,2.0,11.0,8.0,9.0,4.0,1.0,6.0,6.0,3.0,3.0,7.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0
China,NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,2.0,1.0,3.0,2.0,2.0,4.0
European Patent Office,3.0,2.0,5.0,6.0,2.0,3.0,4.0,1.0,3.0,7.0,5.0,7.0,8.0,6.0,10.0,8.0,NA,9.0,3.0,5.0,6.0,3.0,5.0
Germany,2.0,NA,1.0,NA,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,NA,NA,2.0,NA,1.0,NA,NA,NA,NA,NA,NA
Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,NA,NA,NA,NA,NA,NA,NA,NA,8.0,15.0,12.0,6.0,8.0,6.0,7.0,1.0,9.0,3.0,5.0,3.0,2.0,NA,NA
"Korea, Republic of",NA,NA,NA,1.0,NA,NA,1.0,1.0,6.0,2.0,15.0,12.0,10.0,9.0,9.0,16.0,12.0,9.0,3.0,14.0,6.0,9.0,17.0
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,2.0,NA,NA,NA,1.0,NA,NA,2.0,1.0,NA,NA
Patent Co-operation Treaty,1.0,NA,5.0,1.0,3.0,3.0,2.0,5.0,4.0,6.0,11.0,7.0,6.0,13.0,1.0,4.0,7.0,7.0,6.0,4.0,6.0,8.0,8.0
Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
Russian Federation,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0
South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,13.0,9.0,20.0,20.0,5.0,18.0,15.0,5.0,9.0,17.0,22.0,19.0,22.0,29.0,20.0,24.0,21.0,29.0,17.0,14.0,22.0,15.0,19.0
